CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,TotalQuantity,UniqueProducts,Country,CustomerLifetime,AvgOrderValue,AvgDaysBetweenPurchases,R_Score,F_Score,M_Score,RFM_Score,RFM_Value,Customer_Segment,ML_Cluster,Churned,DaysActive,PurchaseFrequency,MonthsSinceFirstPurchase,IsOneTimeBuyer,Churn_Probability,Churn_Risk_Level,Monthly_Purchase_Rate,Monthly_Revenue,CLV
12347.0,2,7,2783.37,2010-12-07 14:57:00,2011-12-07 15:52:00,1701,93,Iceland,366,397.6242857142857,52.285714285714285,5,5,5,555,15,Champions,0,0,366,0.5737704918032788,12.2,0,0.0,,0.5737704918032788,228.14508196721314,977.0655224470755
12348.0,249,3,90.2,2010-12-16 19:09:00,2011-04-05 10:47:00,140,6,Finland,110,30.066666666666666,36.666666666666664,1,3,1,131,5,Promising,2,1,110,0.8181818181818182,3.6666666666666665,0,0.9828571428571428,High,0.8181818181818182,24.6,105.35318861553307
12349.0,19,1,939.75,2011-11-21 09:51:00,2011-11-21 09:51:00,511,57,Italy,1,939.75,1.0,4,1,4,414,9,Potential Loyalists,0,0,1,30.0,0.03333333333333333,1,0.002727272727272727,Low,30.0,28192.5,120738.60853835024
12350.0,310,1,294.4,2011-02-02 16:01:00,2011-02-02 16:01:00,196,16,Norway,1,294.4,1.0,1,1,2,112,4,Lost Customers,2,1,1,30.0,0.03333333333333333,1,1.0,High,30.0,8832.0,37824.3643029426
12352.0,36,7,1130.94,2011-02-16 12:33:00,2011-11-03 14:37:00,500,49,Norway,261,161.56285714285715,37.285714285714285,3,5,4,354,12,At Risk,1,0,261,0.8045977011494253,8.7,0,0.0,,0.8045977011494253,129.99310344827586,556.7149571668581
12353.0,204,1,29.300000000000004,2011-05-19 17:47:00,2011-05-19 17:47:00,14,2,Bahrain,1,29.300000000000004,1.0,1,1,1,111,3,Lost Customers,2,1,1,30.0,0.03333333333333333,1,1.0,High,30.0,879.0000000000001,3764.449300530633
12354.0,232,1,642.13,2011-04-21 13:11:00,2011-04-21 13:11:00,355,39,Spain,1,642.13,1.0,1,1,4,114,6,New Customers,0,1,1,30.0,0.03333333333333333,1,1.0,High,30.0,19263.9,82500.5402508442
12355.0,214,1,179.4,2011-05-09 13:49:00,2011-05-09 13:49:00,72,8,Bahrain,1,179.4,1.0,1,1,2,112,4,Lost Customers,2,1,1,30.0,0.03333333333333333,1,1.0,High,30.0,5382.0,23049.221997105647
12356.0,246,2,491.06,2011-01-18 09:50:00,2011-04-08 12:33:00,386,25,Portugal,81,245.53,40.5,1,2,3,123,6,New Customers,2,1,81,0.7407407407407407,2.7,0,0.9980764163372859,High,0.7407407407407407,181.87407407407406,778.9029930976161
12357.0,33,1,1289.3500000000001,2011-11-06 16:07:00,2011-11-06 16:07:00,1077,67,Switzerland,1,1289.3500000000001,1.0,4,1,5,415,10,Loyal Customers,0,0,1,30.0,0.03333333333333333,1,0.002727272727272727,Low,30.0,38680.50000000001,165655.0411480946
12358.0,2,2,92.82,2011-07-12 10:04:00,2011-12-08 10:26:00,70,5,Austria,150,46.41,75.0,5,2,1,521,8,Potential Loyalists,1,0,150,0.4,5.0,0,0.02,Low,0.4,18.564,79.50311355523398
12359.0,58,4,3072.9300000000003,2011-01-12 12:43:00,2011-10-13 12:47:00,1405,156,Cyprus,275,768.2325000000001,68.75,3,4,5,345,12,At Risk,0,0,275,0.4363636363636364,9.166666666666666,0,0.0,,0.4363636363636364,335.2287272727273,1435.66728998816
12360.0,52,3,1793.3600000000001,2011-05-23 09:43:00,2011-10-18 15:22:00,1076,97,Austria,149,597.7866666666667,49.666666666666664,3,3,5,335,11,At Risk,0,0,149,0.6040268456375839,4.966666666666667,0,0.006607142857142857,Low,0.6040268456375839,361.07919463087256,1546.3757925646785
12361.0,287,1,174.9,2011-02-25 13:51:00,2011-02-25 13:51:00,90,9,Belgium,1,174.9,1.0,1,1,2,112,4,Lost Customers,2,1,1,30.0,0.03333333333333333,1,1.0,High,30.0,5247.0,22471.06425470333
12362.0,3,10,3922.54,2011-02-17 10:30:00,2011-12-06 15:40:00,1952,170,Belgium,293,392.254,29.3,5,5,5,555,15,Champions,4,0,293,1.023890784982935,9.766666666666667,0,0.0,,1.023890784982935,401.6252559726962,1720.020379888342
