CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,TotalQuantity,UniqueProducts,Country,CustomerLifetime,AvgOrderValue,AvgDaysBetweenPurchases
12347.0,2,7,2783.37,2010-12-07 14:57:00,2011-12-07 15:52:00,1701,93,Iceland,366,397.6242857142857,52.285714285714285
12348.0,249,3,90.2,2010-12-16 19:09:00,2011-04-05 10:47:00,140,6,Finland,110,30.066666666666666,36.666666666666664
12349.0,19,1,939.75,2011-11-21 09:51:00,2011-11-21 09:51:00,511,57,Italy,1,939.75,1.0
12350.0,310,1,294.4,2011-02-02 16:01:00,2011-02-02 16:01:00,196,16,Norway,1,294.4,1.0
12352.0,36,7,1130.94,2011-02-16 12:33:00,2011-11-03 14:37:00,500,49,Norway,261,161.56285714285715,37.285714285714285
12353.0,204,1,29.300000000000004,2011-05-19 17:47:00,2011-05-19 17:47:00,14,2,Bahrain,1,29.300000000000004,1.0
12354.0,232,1,642.13,2011-04-21 13:11:00,2011-04-21 13:11:00,355,39,Spain,1,642.13,1.0
12355.0,214,1,179.4,2011-05-09 13:49:00,2011-05-09 13:49:00,72,8,Bahrain,1,179.4,1.0
12356.0,246,2,491.06,2011-01-18 09:50:00,2011-04-08 12:33:00,386,25,Portugal,81,245.53,40.5
12357.0,33,1,1289.3500000000001,2011-11-06 16:07:00,2011-11-06 16:07:00,1077,67,Switzerland,1,1289.3500000000001,1.0
12358.0,2,2,92.82,2011-07-12 10:04:00,2011-12-08 10:26:00,70,5,Austria,150,46.41,75.0
12359.0,58,4,3072.9300000000003,2011-01-12 12:43:00,2011-10-13 12:47:00,1405,156,Cyprus,275,768.2325000000001,68.75
12360.0,52,3,1793.3600000000001,2011-05-23 09:43:00,2011-10-18 15:22:00,1076,97,Austria,149,597.7866666666667,49.666666666666664
12361.0,287,1,174.9,2011-02-25 13:51:00,2011-02-25 13:51:00,90,9,Belgium,1,174.9,1.0
12362.0,3,10,3922.54,2011-02-17 10:30:00,2011-12-06 15:40:00,1952,170,Belgium,293,392.254,29.3
12363.0,110,2,345.78000000000003,2011-04-11 13:29:00,2011-08-22 10:18:00,318,17,Unspecified,133,172.89000000000001,66.5
12364.0,8,3,1106.28,2011-08-19 15:24:00,2011-12-02 10:22:00,1281,67,Belgium,105,368.76,35.0
12365.0,291,1,307.94,2011-02-21 13:51:00,2011-02-21 13:51:00,172,20,Cyprus,1,307.94,1.0
12367.0,4,1,138.3,2011-12-05 16:48:00,2011-12-05 16:48:00,112,9,Denmark,1,138.3,1.0
12370.0,51,4,1927.73,2010-12-14 12:58:00,2011-10-19 14:51:00,1090,118,Cyprus,310,481.9325,77.5
12371.0,60,1,1201.46,2011-10-11 10:43:00,2011-10-11 10:43:00,472,56,Switzerland,1,1201.46,1.0
12372.0,72,3,663.54,2011-02-16 12:46:00,2011-09-29 12:12:00,550,32,Denmark,225,221.17999999999998,75.0
12373.0,311,1,221.10000000000002,2011-02-01 13:10:00,2011-02-01 13:10:00,126,10,Austria,1,221.10000000000002,1.0
12374.0,25,1,479.71,2011-11-14 15:37:00,2011-11-14 15:37:00,313,28,Austria,1,479.71,1.0
12375.0,11,2,200.10000000000002,2011-09-02 14:23:00,2011-11-29 10:36:00,102,10,Finland,88,100.05000000000001,44.0
12377.0,315,2,1157.52,2010-12-20 09:37:00,2011-01-28 15:45:00,834,63,Switzerland,40,578.76,20.0
12378.0,130,1,3188.62,2011-08-02 10:34:00,2011-08-02 10:34:00,1987,190,Switzerland,1,3188.62,1.0
12379.0,82,2,660.24,2011-06-22 16:32:00,2011-09-19 10:09:00,342,36,Belgium,89,330.12,44.5
12380.0,22,4,1505.05,2011-06-07 09:49:00,2011-11-18 11:27:00,796,70,Belgium,165,376.2625,41.25
